Avance|FechaAvance|Partido|TotalVotos|PerValidos|PerEmitidos
91.697|07/06/2021 09:48 h|TOTAL DE VOTOS EMITIDOS|17,773,339|0|100.000
91.697|07/06/2021 09:48 h|TOTAL DE VOTOS VÁLIDOS|16,653,970|100.000|93.702
91.697|07/06/2021 09:48 h|VOTOS EN BLANCO|113,494|0|0.639
91.697|07/06/2021 09:48 h|VOTOS NULOS|1,005,875|0|5.659
91.897|07/06/2021 10:17 h|FUERZA POPULAR|8,349,503|50.050|46.899
91.897|07/06/2021 10:17 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,332,813|49.950|46.805
91.897|07/06/2021 10:17 h|TOTAL DE VOTOS EMITIDOS|17,803,306|0|100.000
91.897|07/06/2021 10:17 h|TOTAL DE VOTOS VÁLIDOS|16,682,316|100.000|93.703
91.897|07/06/2021 10:17 h|VOTOS EN BLANCO|113,719|0|0.639
91.897|07/06/2021 10:17 h|VOTOS NULOS|1,007,271|0|5.658
92.140|07/06/2021 10:48 h|FUERZA POPULAR|8,358,888|50.014|46.865
92.140|07/06/2021 10:48 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,354,217|49.986|46.839
92.140|07/06/2021 10:48 h|TOTAL DE VOTOS EMITIDOS|17,836,144|0|100.000
92.140|07/06/2021 10:48 h|TOTAL DE VOTOS VÁLIDOS|16,713,105|100.000|93.704
92.140|07/06/2021 10:48 h|VOTOS EN BLANCO|113,997|0|0.639
92.140|07/06/2021 10:48 h|VOTOS NULOS|1,009,042|0|5.657
92.620|07/06/2021 11:19 h|FUERZA POPULAR|8,373,661|49.924|46.782
92.620|07/06/2021 11:19 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,399,160|50.076|46.924
92.620|07/06/2021 11:19 h|TOTAL DE VOTOS EMITIDOS|17,899,316|0|100.000
92.620|07/06/2021 11:19 h|TOTAL DE VOTOS VÁLIDOS|16,772,821|100.000|93.706
92.620|07/06/2021 11:19 h|VOTOS EN BLANCO|114,507|0|0.640
92.620|07/06/2021 11:19 h|VOTOS NULOS|1,011,988|0|5.654
92.820|07/06/2021 11:48 h|FUERZA POPULAR|8,384,107|49.898|46.758
92.820|07/06/2021 11:48 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,418,299|50.102|46.949
92.820|07/06/2021 11:48 h|TOTAL DE VOTOS EMITIDOS|17,930,893|0|100.000
92.820|07/06/2021 11:48 h|TOTAL DE VOTOS VÁLIDOS|16,802,406|100.000|93.706
92.820|07/06/2021 11:48 h|VOTOS EN BLANCO|114,773|0|0.640
92.820|07/06/2021 11:48 h|VOTOS NULOS|1,013,714|0|5.653
92.902|07/06/2021 12:21 h|FUERZA POPULAR|8,386,897|49.884|46.744
92.902|07/06/2021 12:21 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,426,061|50.116|46.962
92.902|07/06/2021 12:21 h|TOTAL DE VOTOS EMITIDOS|17,942,168|0|100.000
92.902|07/06/2021 12:21 h|TOTAL DE VOTOS VÁLIDOS|16,812,958|100.000|93.706
92.902|07/06/2021 12:21 h|VOTOS EN BLANCO|114,886|0|0.640
92.902|07/06/2021 12:21 h|VOTOS NULOS|1,014,324|0|5.653
93.018|07/06/2021 12:48 h|FUERZA POPULAR|8,391,809|49.875|46.736
93.018|07/06/2021 12:48 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,433,731|50.125|46.969
93.018|07/06/2021 12:48 h|TOTAL DE VOTOS EMITIDOS|17,955,767|0|100.000
93.018|07/06/2021 12:48 h|TOTAL DE VOTOS VÁLIDOS|16,825,540|100.000|93.705
93.018|07/06/2021 12:48 h|VOTOS EN BLANCO|115,055|0|0.641
93.018|07/06/2021 12:48 h|VOTOS NULOS|1,015,172|0|5.654
93.308|07/06/2021 13:18 h|FUERZA POPULAR|8,404,569|49.844|46.706
93.308|07/06/2021 13:18 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,457,284|50.156|46.999
93.308|07/06/2021 13:18 h|TOTAL DE VOTOS EMITIDOS|17,994,584|0|100.000
93.308|07/06/2021 13:18 h|TOTAL DE VOTOS VÁLIDOS|16,861,853|100.000|93.705
93.308|07/06/2021 13:18 h|VOTOS EN BLANCO|115,513|0|0.642
93.308|07/06/2021 13:18 h|VOTOS NULOS|1,017,218|0|5.653
93.383|07/06/2021 13:40 h|FUERZA POPULAR|8,407,930|49.835|46.698
93.383|07/06/2021 13:40 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,463,568|50.165|47.007
93.383|07/06/2021 13:40 h|TOTAL DE VOTOS EMITIDOS|18,004,805|0|100.000
93.383|07/06/2021 13:40 h|TOTAL DE VOTOS VÁLIDOS|16,871,498|100.000|93.706
93.383|07/06/2021 13:40 h|VOTOS EN BLANCO|115,628|0|0.642
93.383|07/06/2021 13:40 h|VOTOS NULOS|1,017,679|0|5.652
93.479|07/06/2021 14:22 h|FUERZA POPULAR|8,413,767|49.835|46.698
93.479|07/06/2021 14:22 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,469,621|50.165|47.008
93.479|07/06/2021 14:22 h|TOTAL DE VOTOS EMITIDOS|18,017,490|0|100.000
93.479|07/06/2021 14:22 h|TOTAL DE VOTOS VÁLIDOS|16,883,388|100.000|93.706
93.479|07/06/2021 14:22 h|VOTOS EN BLANCO|115,766|0|0.643
93.479|07/06/2021 14:22 h|VOTOS NULOS|1,018,336|0|5.652
93.573|07/06/2021 14:49 h|FUERZA POPULAR|8,419,184|49.833|46.696
93.573|07/06/2021 14:49 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,475,774|50.167|47.010
93.573|07/06/2021 14:49 h|TOTAL DE VOTOS EMITIDOS|18,029,700|0|100.000
93.573|07/06/2021 14:49 h|TOTAL DE VOTOS VÁLIDOS|16,894,958|100.000|93.706
93.573|07/06/2021 14:49 h|VOTOS EN BLANCO|115,906|0|0.643
93.573|07/06/2021 14:49 h|VOTOS NULOS|1,018,836|0|5.651
93.663|07/06/2021 15:21 h|FUERZA POPULAR|8,421,913|49.820|46.684
93.663|07/06/2021 15:21 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,482,812|50.180|47.022
93.663|07/06/2021 15:21 h|TOTAL DE VOTOS EMITIDOS|18,040,243|0|100.000
93.663|07/06/2021 15:21 h|TOTAL DE VOTOS VÁLIDOS|16,904,725|100.000|93.706
93.663|07/06/2021 15:21 h|VOTOS EN BLANCO|116,011|0|0.643
93.663|07/06/2021 15:21 h|VOTOS NULOS|1,019,507|0|5.651
93.840|07/06/2021 15:51 h|FUERZA POPULAR|8,426,917|49.780|46.645
93.840|07/06/2021 15:51 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,501,553|50.220|47.059
93.840|07/06/2021 15:51 h|TOTAL DE VOTOS EMITIDOS|18,065,923|0|100.000
93.840|07/06/2021 15:51 h|TOTAL DE VOTOS VÁLIDOS|16,928,470|100.000|93.704
93.840|07/06/2021 15:51 h|VOTOS EN BLANCO|116,311|0|0.644
93.840|07/06/2021 15:51 h|VOTOS NULOS|1,021,142|0|5.652
94.138|07/06/2021 16:45 h|FUERZA POPULAR|8,441,414|49.759|46.625
94.138|07/06/2021 16:45 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,523,267|50.241|47.077
94.138|07/06/2021 16:45 h|TOTAL DE VOTOS EMITIDOS|18,105,018|0|100.000
94.138|07/06/2021 16:45 h|TOTAL DE VOTOS VÁLIDOS|16,964,681|100.000|93.702
94.138|07/06/2021 16:45 h|VOTOS EN BLANCO|116,768|0|0.645
94.138|07/06/2021 16:45 h|VOTOS NULOS|1,023,569|0|5.654
94.243|07/06/2021 17:18 h|FUERZA POPULAR|8,445,121|49.741|46.607
94.243|07/06/2021 17:18 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,532,945|50.259|47.092
94.243|07/06/2021 17:18 h|TOTAL DE VOTOS EMITIDOS|18,119,889|0|100.000
94.243|07/06/2021 17:18 h|TOTAL DE VOTOS VÁLIDOS|16,978,066|100.000|93.699
94.243|07/06/2021 17:18 h|VOTOS EN BLANCO|116,926|0|0.645
94.243|07/06/2021 17:18 h|VOTOS NULOS|1,024,897|0|5.656
94.279|07/06/2021 17:48 h|FUERZA POPULAR|8,446,117|49.736|46.601
94.279|07/06/2021 17:48 h|PARTIDO POLITICO NACIONAL PERU LIBRE|8,535,849|50.264|47.096
94.279|07/06/2021 17:48 h|TOTAL DE VOTOS EMITIDOS|18,124,270|0|100.000
94.279|07/06/2021 17:48 h|TOTAL DE VOTOS VÁLIDOS|16,981,966|100.000|93.697
